Province,1/4/21,2/4/21,3/4/21,4/4/21,5/4/21,6/4/21,7/4/21,8/4/21,9/4/21,10/4/21,11/4/21,12/4/21,13/4/21,14/4/21,15/4/21,16/4/21,17/4/21,18/4/21,19/4/21,20/4/21,21/4/21,22/4/21,23/4/21,24/4/21,25/4/21,26/4/21,27/4/21,28/4/21,29/4/21,30/4/21,1/5/21,2/5/21,3/5/21,4/5/21,5/5/21,6/5/21,7/5/21,8/5/21,9/5/21,10/5/21,11/5/21,12/5/21,13/5/21,14/5/21,15/5/21,16/5/21,17/5/21,18/5/21,19/5/21,20/5/21,21/5/21,22/5/21,23/5/21,24/5/21,25/5/21,26/5/21,27/5/21,28/5/21,29/5/21,30/5/21,31/5/21,1/6/21,Total
สงขลา,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,10.0,6.0,4.0,10.0,17.0,18.0,89.0,17.0,25.0,32.0,29.0,41.0,42.0,17.0,34.0,51.0,38.0,23.0,52.0,46.0,20.0,27.0,31.0,27.0,10.0,36.0,14.0,23.0,19.0,15.0,20.0,11.0,2.0,27.0,19.0,23.0,37.0,42.0,29.0,46.0,28.0,36.0,20.0,59.0,36.0,6.0,42.0,31.0,39.0,31.0,39.0,37.0,21.0,1512.0
นครปฐม,0.0,0.0,5.0,3.0,0.0,1.0,1.0,6.0,1.0,15.0,11.0,17.0,10.0,20.0,17.0,27.0,18.0,26.0,38.0,35.0,19.0,21.0,24.0,13.0,16.0,48.0,28.0,38.0,30.0,34.0,29.0,35.0,23.0,50.0,11.0,47.0,29.0,28.0,22.0,11.0,20.0,7.0,21.0,21.0,30.0,16.0,36.0,18.0,22.0,38.0,16.0,20.0,26.0,28.0,19.0,13.0,35.0,36.0,26.0,23.0,40.0,40.0,1358.0
พระนครศรีอยุธยา,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,5.0,18.0,5.0,11.0,25.0,19.0,13.0,7.0,42.0,18.0,21.0,25.0,31.0,24.0,14.0,9.0,30.0,27.0,24.0,25.0,30.0,24.0,19.0,23.0,29.0,35.0,32.0,29.0,17.0,27.0,25.0,38.0,39.0,29.0,29.0,37.0,31.0,28.0,18.0,30.0,28.0,14.0,9.0,18.0,29.0,16.0,24.0,32.0,8.0,23.0,27.0,32.0,1230.0
นครราชสีมา,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,1.0,67.0,1.0,0.0,14.0,6.0,51.0,35.0,47.0,35.0,0.0,69.0,16.0,54.0,22.0,33.0,17.0,10.0,15.0,21.0,34.0,21.0,17.0,18.0,12.0,10.0,15.0,20.0,10.0,38.0,11.0,11.0,11.0,7.0,7.0,4.0,8.0,5.0,19.0,11.0,16.0,22.0,11.0,12.0,20.0,12.0,11.0,12.0,4.0,3.0,2.0,944.0
ระยอง,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,10.0,9.0,31.0,25.0,11.0,23.0,11.0,10.0,35.0,19.0,35.0,64.0,18.0,35.0,31.0,31.0,21.0,18.0,37.0,17.0,15.0,9.0,18.0,12.0,24.0,22.0,13.0,13.0,19.0,11.0,21.0,8.0,16.0,30.0,33.0,15.0,25.0,19.0,10.0,12.0,12.0,13.0,15.0,6.0,11.0,3.0,18.0,8.0,1.0,1.0,6.0,3.0,2.0,943.0
นราธิวาส,0.0,0.0,1.0,1.0,94.0,30.0,1.0,146.0,0.0,18.0,3.0,1.0,3.0,8.0,19.0,5.0,18.0,18.0,15.0,17.0,20.0,23.0,26.0,4.0,6.0,2.0,3.0,5.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,10.0,7.0,1.0,2.0,32.0,3.0,25.0,2.0,3.0,6.0,4.0,8.0,4.0,11.0,15.0,12.0,4.0,20.0,6.0,54.0,16.0,14.0,25.0,22.0,65.0,21.0,36.0,930.0
ฉะเชิงเทรา,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,2.0,10.0,7.0,16.0,7.0,9.0,11.0,29.0,15.0,9.0,23.0,26.0,9.0,9.0,11.0,8.0,18.0,21.0,11.0,29.0,17.0,37.0,5.0,2.0,17.0,35.0,12.0,27.0,7.0,2.0,21.0,9.0,9.0,8.0,19.0,12.0,8.0,13.0,11.0,19.0,6.0,9.0,103.0,9.0,20.0,14.0,14.0,16.0,19.0,62.0,62.0,11.0,924.0
นครศรีธรรมราช,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,6.0,3.0,1.0,10.0,6.0,12.0,11.0,11.0,13.0,21.0,17.0,20.0,55.0,23.0,24.0,16.0,22.0,18.0,46.0,18.0,48.0,28.0,32.0,31.0,27.0,24.0,14.0,39.0,16.0,17.0,20.0,25.0,24.0,12.0,11.0,30.0,10.0,13.0,7.0,8.0,8.0,11.0,10.0,5.0,5.0,12.0,5.0,13.0,9.0,2.0,875.0
จันทบุรี,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,8.0,9.0,5.0,6.0,2.0,2.0,2.0,9.0,4.0,9.0,7.0,21.0,8.0,14.0,14.0,21.0,23.0,9.0,18.0,32.0,25.0,19.0,15.0,16.0,7.0,25.0,27.0,38.0,36.0,89.0,32.0,14.0,21.0,14.0,6.0,14.0,6.0,32.0,44.0,21.0,14.0,9.0,10.0,8.0,11.0,5.0,17.0,9.0,14.0,7.0,6.0,844.0
ระนอง,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,8.0,15.0,13.0,25.0,6.0,20.0,7.0,18.0,36.0,33.0,45.0,12.0,37.0,9.0,5.0,29.0,50.0,48.0,45.0,44.0,25.0,8.0,6.0,13.0,21.0,4.0,19.0,25.0,0.0,54.0,3.0,13.0,30.0,12.0,5.0,8.0,9.0,5.0,14.0,19.0,25.0,834.0
