Province,1/4/21,2/4/21,3/4/21,4/4/21,5/4/21,6/4/21,7/4/21,8/4/21,9/4/21,10/4/21,11/4/21,12/4/21,13/4/21,14/4/21,15/4/21,16/4/21,17/4/21,18/4/21,19/4/21,20/4/21,21/4/21,22/4/21,23/4/21,24/4/21,25/4/21,26/4/21,27/4/21,28/4/21,29/4/21,30/4/21,1/5/21,2/5/21,3/5/21,4/5/21,5/5/21,6/5/21,7/5/21,8/5/21,9/5/21,10/5/21,11/5/21,12/5/21,13/5/21,14/5/21,15/5/21,16/5/21,17/5/21,18/5/21,19/5/21,20/5/21,21/5/21,22/5/21,23/5/21,24/5/21,25/5/21,26/5/21,27/5/21,28/5/21,29/5/21,30/5/21,31/5/21,1/6/21,Total
ตาก,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,13.0,4.0,4.0,8.0,3.0,5.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,6.0,7.0,12.0,10.0,0.0,2.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,9.0,5.0,45.0,20.0,7.0,14.0,3.0,30.0,0.0,6.0,13.0,5.0,2.0,1.0,286.0
ลพบุรี,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,6.0,3.0,0.0,6.0,9.0,6.0,8.0,9.0,9.0,8.0,5.0,3.0,6.0,10.0,4.0,4.0,5.0,11.0,5.0,8.0,3.0,0.0,7.0,5.0,0.0,5.0,6.0,5.0,7.0,4.0,3.0,0.0,0.0,14.0,9.0,4.0,15.0,7.0,10.0,6.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,14.0,4.0,269.0
ร้อยเอ็ด,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,3.0,2.0,3.0,6.0,7.0,4.0,5.0,5.0,10.0,7.0,11.0,23.0,14.0,7.0,8.0,11.0,15.0,2.0,2.0,6.0,4.0,5.0,3.0,7.0,5.0,6.0,4.0,3.0,1.0,3.0,12.0,4.0,7.0,4.0,2.0,5.0,0.0,4.0,6.0,9.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,262.0
ลำปาง,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,59.0,10.0,34.0,7.0,17.0,6.0,10.0,9.0,8.0,2.0,7.0,3.0,0.0,2.0,11.0,5.0,3.0,10.0,5.0,8.0,1.0,7.0,2.0,1.0,5.0,1.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,260.0
นครนายก,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,6.0,9.0,4.0,7.0,5.0,3.0,0.0,7.0,8.0,10.0,5.0,2.0,6.0,7.0,17.0,5.0,9.0,6.0,3.0,2.0,5.0,8.0,7.0,5.0,3.0,4.0,4.0,7.0,2.0,2.0,6.0,3.0,4.0,7.0,15.0,2.0,5.0,3.0,1.0,3.0,3.0,13.0,6.0,255.0
สมุทรสงคราม,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,7.0,2.0,1.0,0.0,3.0,5.0,3.0,6.0,5.0,4.0,4.0,6.0,5.0,4.0,4.0,3.0,4.0,0.0,3.0,5.0,1.0,4.0,7.0,8.0,6.0,9.0,11.0,4.0,5.0,4.0,16.0,4.0,3.0,17.0,206.0
บุรีรัมย์,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,4.0,7.0,0.0,0.0,8.0,8.0,9.0,0.0,8.0,2.0,5.0,5.0,6.0,7.0,3.0,9.0,2.0,1.0,0.0,1.0,4.0,11.0,12.0,2.0,0.0,2.0,5.0,3.0,2.0,6.0,5.0,6.0,3.0,7.0,2.0,6.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,2.0,196.0
อ่างทอง,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,0.0,3.0,0.0,5.0,3.0,0.0,12.0,5.0,0.0,27.0,7.0,0.0,13.0,5.0,6.0,0.0,11.0,5.0,5.0,6.0,6.0,4.0,4.0,8.0,6.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,181.0
เพชรบูรณ์,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,3.0,5.0,1.0,2.0,7.0,6.0,2.0,4.0,1.0,4.0,1.0,0.0,10.0,7.0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,5.0,8.0,10.0,2.0,10.0,3.0,7.0,2.0,0.0,9.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,4.0,5.0,2.0,0.0,163.0
สุรินทร์,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,4.0,6.0,4.0,8.0,3.0,5.0,6.0,3.0,5.0,4.0,5.0,7.0,4.0,3.0,8.0,14.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,3.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,5.0,10.0,5.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,161.0
กำแพงเพชร,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,5.0,6.0,5.0,4.0,1.0,0.0,0.0,21.0,26.0,7.0,2.0,1.0,5.0,2.0,2.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,147.0
พิจิตร,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,5.0,5.0,19.0,0.0,3.0,2.0,8.0,6.0,1.0,3.0,1.0,2.0,6.0,10.0,2.0,5.0,2.0,2.0,5.0,2.0,9.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,141.0
นครพนม,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,4.0,3.0,8.0,7.0,10.0,9.0,7.0,5.0,6.0,3.0,7.0,8.0,3.0,4.0,5.0,3.0,3.0,0.0,9.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
ยโสธร,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,2.0,0.0,4.0,0.0,8.0,6.0,1.0,7.0,9.0,3.0,6.0,5.0,4.0,6.0,1.0,4.0,3.0,4.0,4.0,0.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,6.0,4.0,0.0,5.0,1.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,139.0
สกลนคร,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,2.0,1.0,9.0,2.0,1.0,9.0,5.0,2.0,0.0,4.0,1.0,5.0,7.0,0.0,9.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,2.0,2.0,2.0,1.0,3.0,5.0,5.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,127.0
ตราด,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,5.0,6.0,7.0,5.0,10.0,6.0,8.0,11.0,5.0,10.0,1.0,8.0,5.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
น่าน,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,14.0,5.0,0.0,14.0,2.0,4.0,3.0,4.0,13.0,3.0,6.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0
สุโขทัย,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,10.0,9.0,16.0,16.0,12.0,4.0,2.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,114.0
กาฬสินธุ์,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,4.0,1.0,8.0,4.0,7.0,2.0,3.0,2.0,8.0,5.0,4.0,2.0,0.0,6.0,3.0,1.0,0.0,3.0,3.0,1.0,6.0,1.0,2.0,1.0,2.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,109.0
ชุมพร,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,3.0,1.0,1.0,1.0,3.0,7.0,1.0,6.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,5.0,5.0,5.0,6.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,107.0
สิงห์บุรี,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,2.0,0.0,3.0,4.0,0.0,3.0,6.0,1.0,0.0,3.0,0.0,0.0,2.0,7.0,5.0,0.0,5.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,7.0,3.0,1.0,2.0,2.0,0.0,1.0,6.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,107.0
พะเยา,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,21.0,8.0,6.0,8.0,3.0,4.0,3.0,4.0,2.0,0.0,4.0,5.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
อุตรดิตถ์,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,2.0,10.0,17.0,5.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,89.0
เลย,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,7.0,3.0,0.0,1.0,4.0,0.0,3.0,9.0,8.0,5.0,0.0,1.0,2.0,1.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,88.0
แพร่,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,16.0,5.0,6.0,5.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
ชัยนาท,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,4.0,10.0,2.0,23.0,0.0,7.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,82.0
หนองคาย,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0,7.0,5.0,6.0,3.0,2.0,5.0,3.0,4.0,3.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0
พังงา,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,5.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,9.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,69.0
หนองบัวลำภู,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,6.0,1.0,0.0,6.0,0.0,0.0,53.0
อำนาจเจริญ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
แม่ฮ่องสอน,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,14.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
อุทัยธานี,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,39.0
มุกดาหาร,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0
บึงกาฬ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,32.0
สตูล,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
